City,Beach,Date,Enterococcus
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-07-08,12
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-07-15,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-07-22,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-07-29,32
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-08-05,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-08-12,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-08-19,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-08-26,29
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-09-02,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-09-09,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-09-16,21
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-09-23,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-09-30,13
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-10-07,4
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-10-14,76
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-10-21,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-10-28,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-11-04,4
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-11-11,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-11-18,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-11-25,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-12-02,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-12-09,18
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-12-16,15
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-12-23,49
BERTIOGA,SÃO LOURENÇO (RUA 2),2012-12-30,440
BERTIOGA,ENSEADA - INDAIÁ,2012-01-03,17
BERTIOGA,ENSEADA - INDAIÁ,2012-01-08,85
BERTIOGA,ENSEADA - INDAIÁ,2012-01-15,1
BERTIOGA,ENSEADA - INDAIÁ,2012-01-22,10
BERTIOGA,ENSEADA - INDAIÁ,2012-01-29,108
BERTIOGA,ENSEADA - INDAIÁ,2012-02-05,6
BERTIOGA,ENSEADA - INDAIÁ,2012-02-12,7
BERTIOGA,ENSEADA - INDAIÁ,2012-02-19,29
BERTIOGA,ENSEADA - INDAIÁ,2012-02-26,15
BERTIOGA,ENSEADA - INDAIÁ,2012-03-04,1
BERTIOGA,ENSEADA - INDAIÁ,2012-03-11,22
BERTIOGA,ENSEADA - INDAIÁ,2012-03-18,1
BERTIOGA,ENSEADA - INDAIÁ,2012-03-25,11
